name1,cip4,CIPFamily
Accounting,52.03,52
Acoustics,40.08,40
Aerospace & Aeronautics,NA,NA
Agricultural Economics & Policy,NA,NA
Agronomy & Agriculture,NA,NA
Allergy,NA,NA
Analytical Chemistry,40.05,40
Anatomy & Morphology,NA,NA
Anesthesiology,60.02,60
Anthropology,45.02,45
Applied Ethics,NA,NA
Applied Mathematics,27.03,27
Applied Physics,NA,NA
Archaeology,NA,NA
Arthritis & Rheumatology,NA,NA
Artificial Intelligence & Image Processing,NA,NA
Astronomy & Astrophysics,NA,NA
Behavioral Science & Comparative Psychology,NA,NA
Biochemistry & Molecular Biology,NA,NA
Bioinformatics,26.11,26
Biomedical Engineering,NA,NA
Biophysics,26.02,26
Biotechnology,26.12,26
Building & Construction,NA,NA
Business & Management,NA,NA
Cardiovascular System & Hematology,NA,NA
Chemical Engineering,14.07,14
Chemical Physics,40.05,40
Civil Engineering,14.08,14
Classics,NA,NA
Clinical Psychology,42.02,42
Communication & Media Studies,NA,NA
Complementary & Alternative Medicine,NA,NA
Computation Theory & Mathematics,NA,NA
Computer Hardware & Architecture,NA,NA
Criminology,45.04,45
Cultural Studies,NA,NA
Dairy & Animal Science,NA,NA
Demography,NA,NA
Dentistry,51.04,51
Dermatology & Venereal Diseases,NA,NA
Design Practice & Management,NA,NA
Development Studies,NA,NA
Developmental & Child Psychology,NA,NA
Developmental Biology,NA,NA
Distributed Computing,NA,NA
Ecology,26.13,26
Econometrics,NA,NA
Economic Theory,NA,NA
Economics,45.06,45
Education,NA,NA
Electrical & Electronic Engineering,NA,NA
Emergency & Critical Care Medicine,NA,NA
Endocrinology & Metabolism,NA,NA
Energy,NA,NA
Entomology,26.07,26
Environmental & Occupational Health,NA,NA
Environmental Engineering,NA,NA
Environmental Sciences,NA,NA
Epidemiology,26.13,26
Evolutionary Biology,26.13,26
Experimental Psychology,42.08,42
Family Studies,NA,NA
Finance,NA,NA
Fisheries,NA,NA
Fluids & Plasmas,NA,NA
Food Science,01.10,01
Forestry,03.05,03
Gastroenterology & Hepatology,NA,NA
Gender Studies,NA,NA
General & Internal Medicine,NA,NA
"General Arts, Humanities & Social Sciences",NA,NA
General Chemistry,NA,NA
General Clinical Medicine,NA,NA
General Mathematics,NA,NA
General Physics,NA,NA
General Psychology & Cognitive Sciences,NA,NA
General Science & Technology,NA,NA
Genetics & Heredity,NA,NA
Geochemistry & Geophysics,NA,NA
Geography,45.07,45
Geological & Geomatics Engineering,NA,NA
Geology,NA,NA
Geriatrics,NA,NA
Gerontology,30.11,30
Health Policy & Services,NA,NA
History,54.01,54
"History of Science, Technology & Medicine",NA,NA
History of Social Sciences,NA,NA
Horticulture,NA,NA
Human Factors,NA,NA
Immunology,26.05,26
Industrial Engineering & Automation,NA,NA
Industrial Relations,NA,NA
Information & Library Sciences,NA,NA
Information Systems,NA,NA
Inorganic & Nuclear Chemistry,NA,NA
International Relations,NA,NA
Languages & Linguistics,NA,NA
Law,22.01,22
Legal & Forensic Medicine,NA,NA
Literary Studies,NA,NA
Logistics & Transportation,NA,NA
Marine Biology & Hydrobiology,NA,NA
Marketing,52.14,52
Materials,NA,NA
Mathematical Physics,NA,NA
Mechanical Engineering & Transports,NA,NA
Medical Informatics,51.27,51
Medicinal & Biomolecular Chemistry,NA,NA
Meteorology & Atmospheric Sciences,NA,NA
Microbiology,NA,NA
Microscopy,NA,NA
Mining & Metallurgy,NA,NA
Mycology & Parasitology,NA,NA
Nanoscience & Nanotechnology,NA,NA
Networking & Telecommunications,NA,NA
Neurology & Neurosurgery,NA,NA
Nuclear & Particles Physics,NA,NA
Nuclear Medicine & Medical Imaging,NA,NA
Numerical & Computational Mathematics,NA,NA
Nursing,51.16,51
Nutrition & Dietetics,NA,NA
Obstetrics & Reproductive Medicine,NA,NA
Oceanography,NA,NA
Oncology & Carcinogenesis,NA,NA
Operations Research,14.37,14
Ophthalmology & Optometry,NA,NA
Optics,NA,NA
Optoelectronics & Photonics,NA,NA
Organic Chemistry,40.05,40
Ornithology,NA,NA
Orthopedics,NA,NA
Otorhinolaryngology,NA,NA
Paleontology,40.06,40
Pathology,60.02,60
Pediatrics,60.02,60
Pharmacology & Pharmacy,NA,NA
Philosophy,38.01,38
Physical Chemistry,40.05,40
Physiology,NA,NA
Plant Biology & Botany,NA,NA
Political Science & Public Administration,NA,NA
Polymers,NA,NA
Psychiatry,60.02,60
Psychoanalysis,NA,NA
Public Health,51.22,51
Rehabilitation,NA,NA
Religions & Theology,NA,NA
Respiratory System,NA,NA
Science Studies,NA,NA
Social Psychology,42.16,42
Social Sciences Methods,NA,NA
Social Work,44.07,44
Sociology,45.11,45
Software Engineering,NA,NA
Speech-Language Pathology & Audiology,NA,NA
Sport Sciences,NA,NA
"Sport, Leisure & Tourism",NA,NA
Statistics & Probability,NA,NA
"Strategic, Defence & Security Studies",NA,NA
Substance Abuse,NA,NA
Surgery,NA,NA
Toxicology,26.10,26
Tropical Medicine,NA,NA
Urban & Regional Planning,NA,NA
Urology & Nephrology,NA,NA
Veterinary Sciences,NA,NA
Virology,26.05,26
Zoology,NA,NA
