Sex and major field of study,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,% change 2009–18
All doctorate recipientsa,"49,552","48,028","48,910","50,943","52,703","53,989","54,889","54,798","54,559","55,195",11.4
Life sciences,"11,403","11,319","11,535","11,964","12,207","12,484","12,493","12,536","12,555","12,780",12.1
Agricultural sciences and natural resources,"1,283","1,100","1,206","1,255","1,324","1,338","1,434","1,378","1,494","1,445",12.6
Biological and biomedical sciences,"8,025","8,046","8,152","8,322","8,354","8,868","8,783","8,861","8,566","8,801",9.7
Health sciences,"2,095","2,173","2,177","2,387","2,529","2,278","2,276","2,297","2,495","2,534",21.0
Physical sciences and earth sciences,"5,160","4,995","5,271","5,419","5,584","5,910","5,917","6,251","6,084","6,335",22.8
Chemistry,"2,391","2,304","2,432","2,416","2,484","2,673","2,667","2,703","2,701","2,810",17.5
"Geosciences, atmospheric sciences, and ocean sciences",877,862,852,941,989,"1,098","1,057","1,227","1,169","1,185",35.1
Physics and astronomy,"1,892","1,829","1,987","2,062","2,111","2,139","2,193","2,321","2,214","2,340",23.7
Mathematics and computer sciences,"3,163","3,223","3,273","3,496","3,660","3,862","3,818","3,954","3,842","4,030",27.4
Computer and information sciences,"1,610","1,633","1,667","1,793","1,843","1,988","2,003","2,082","1,998","2,004",24.5
Mathematics and statistics,"1,553","1,590","1,606","1,703","1,817","1,874","1,815","1,872","1,844","2,026",30.5
Psychology and social sciences,"7,945","7,882","8,221","8,498","8,580","8,751","9,075","9,035","9,036","8,899",12.0
Psychology,"3,472","3,420","3,576","3,599","3,592","3,724","3,775","3,910","3,926","3,837",10.5
Anthropology,503,507,553,547,550,523,492,460,446,424,-15.7
Economics,"1,118","1,073","1,121","1,243","1,183","1,196","1,255","1,235","1,239","1,247",11.5
Political science and government,682,728,685,724,803,777,859,745,743,734,7.6
Sociology,662,639,657,633,636,679,742,613,683,669,1.1
Other social sciences,"1,508","1,515","1,629","1,752","1,816","1,852","1,952","2,072","1,999","1,988",31.8
Engineering,"7,642","7,578","8,032","8,469","9,000","9,626","9,875","9,458","9,777","10,183",33.3
"Aerospace, aeronautical, and astronautical engineering",297,252,262,307,348,386,361,370,379,383,29.0
Bioengineering and biomedical engineering,834,824,898,943,"1,039","1,046","1,125","1,089","1,032","1,134",36.0
Chemical engineering,807,822,823,840,824,973,"1,002",921,931,981,21.6
Civil engineering,707,643,634,495,542,617,632,564,713,677,-4.2
"Electrical, electronics, and communications engineering","1,693","1,778","1,886","1,938","1,897","1,952","1,997","1,822","1,880","1,951",15.2
Industrial and manufacturing engineering,251,215,258,226,241,298,243,256,249,272,8.4
Materials science engineering,625,670,662,743,815,832,871,984,937,995,59.2
Mechanical engineering,"1,095",983,"1,084","1,220","1,277","1,331","1,466","1,297","1,399","1,504",37.4
Other engineering,"1,333","1,391","1,525","1,757","2,017","2,191","2,178","2,155","2,257","2,286",71.5
Education,"6,528","5,287","4,670","4,802","4,934","4,789","5,098","5,143","4,826","4,834",-25.9
Education administration,"2,146","1,439",924,"1,057",965,893,920,823,922,898,-58.2
Education research,"2,663","2,443","2,438","2,568","2,703","2,560","2,772","2,383","2,418","2,507",-5.9
Teacher education,332,245,204,156,109,152,156,180,114,97,-70.8
Teaching fields,906,799,805,757,892,915,953,"1,165",925,963,6.3
Other education,481,361,299,264,265,269,297,592,447,369,-23.3
Humanities and arts,"4,904","5,015","5,225","5,561","5,715","5,524","5,594","5,480","5,286","5,145",4.9
Foreign languages and literature,598,601,644,684,701,674,656,599,618,617,3.2
History,"1,045","1,005","1,065","1,086","1,148","1,186","1,146","1,148","1,058",948,-9.3
Letters,"1,413","1,516","1,513","1,638","1,606","1,551","1,583","1,529","1,462","1,442",2.1
Other humanities and arts,"1,848","1,893","2,003","2,153","2,260","2,113","2,209","2,204","2,148","2,138",15.7
Otherb,"2,807","2,729","2,683","2,734","3,023","3,043","3,019","2,941","3,153","2,989",6.5
Business management and administration,"1,405","1,366","1,327","1,404","1,551","1,584","1,582","1,509","1,565","1,481",5.4
Communication,627,638,650,595,645,663,667,672,622,631,0.6
Non-S&E fields nec,775,725,706,735,827,796,770,760,962,877,13.2
Unknown field,0,0,0,0,0,0,0,0,4,0,0.0
Male,"26,331","25,524","26,188","27,362","28,326","29,009","29,535","29,568","29,085","29,798",13.2
Life sciences,"5,183","5,101","5,243","5,335","5,492","5,514","5,564","5,626","5,613","5,659",9.2
Agricultural sciences and natural resources,722,609,652,698,702,691,746,755,756,746,3.3
Biological and biomedical sciences,"3,834","3,823","3,878","3,891","3,941","4,088","4,101","4,152","4,056","4,089",6.7
